id,count,value
180562885329138_1638900766162002,93,mano brown tem show na virada cultural de sp cancelado e reclama de estrutura rapper iria se apresentar no grajau musico diz que com chuva organizacao da virada nao montou estrutura minima necessaria secretaria diz que cancelamento foi opcao do artista
180562885329138_1638639892854756,193,comandante do exercito defende intervencao militar apos delacao da jbs nao e verdade mensagem que circula nas redes diz que general se posicionou publicamente a favor de mobilizacao ela e falsa
180562885329138_1638343819551030,42,brecha na lei cria mercado de doacao de maconha nos eua em washington lei permite consumo recreativo da erva mas proibe venda no entanto permissao para transferir sem pagamento ate  gramas de maconha cria mercado paralelo de brindes na capital americana
180562885329138_1637922519593160,37,megasena concurso  ninguem acerta e premio acumula em r  mi veja das dezenas sorteadas           quina teve  apostas ganhadoras cada um levou r
180562885329138_1636474033071342,1064,dono da jbs diz ter transferido us  milhoes no exterior para campanhas de lula e dilma declaracao foi dada por joesley batista na sede da procuradoria geral da republica em  de maio deste ano defesas de lula e de dilma negam irregularidades
180562885329138_1636459179739494,14662,jovem estrabica atira em rival mas mata cliente por engano em bar de goiania diz delegado irmao da suspeita tambem foi preso por envolvimento no crime ele confessou homicidio e disse que mulher nao tem ligacao com assassinato
180562885329138_1636362379749174,111,cvm abre  processos em uma semana para investigar jbs fontes do mercado financeiro afirmam que empresa pode ter comprado dolar um dia antes do vazamento de audio de delacao premiada da empresa dolar disparou no dia seguinte
180562885329138_1636062949779117,2076,marido de atropelada em ato desabafa sobre motorista ia matar minha mulher integrante do mtst ele se feriu ao quebrar o vidro do carro para conter a condutora em goiania videos mostram confusao durante protesto que pedia a renuncia de michel temer
180562885329138_1636016073117138,33,essa ideia da sociedade de que ninguem presta e muito perigosa diz boris fausto historiador afirma que crise politica atual e a mais grave da historia e que descrenca da sociedade com politicos abre espaco perigoso nessa hora os salvadores aparecem no imaginario das pessoas afirmou
180562885329138_1635754419809970,2,sextafeira  de maio bom dia aqui estao as principais noticias para voce comecar o dia beminformado
180562885329138_1635534369831975,9,quintafeira  de maio de boa noite aqui estao as principais noticias para voce terminar o dia beminformado
180562885329138_1635490096503069,1405,vou sair dessa crise mais rapido do que se pensa diz temer o blog conversou na noite desta quintafeira com michel temer depois da  divulgacao pelo supremo tribunal federal do trecho da gravacao  que mostra
180562885329138_1635201849865227,353,memes no celular e nas redes sociais a reacao da internet a delacao da jbs envolvendo temer crise politica instaurada com a delacao da jbs domina memes nas redes sociais desde a noite desta quartafeira
180562885329138_1634748579910554,266,delatores da jbs relataram as autoridades que receberam ameacas de morte donos do frigorifico moram em nova york e nao foram encontrados por equipe da tv globo joesley batista gravou presidente dando aval para comprar silencio de cunha diz jornal
180562885329138_1634779933240752,1289,sob pressao de aliados temer cancela agenda oficial desta quinta segundo o globo dono da jbs gravou temer dando aval para comprar silencio de cunha presidente decidiu cancelar  compromissos oficiais e se reuniu com nucleo politico do governo
180562885329138_1633664766685602,68,entenda a crise entre donald trump e o fbi memorando de exdiretor do fbi demitido por trump sugere que o presidente americano tentou interferir em investigacoes sobre relacao de seu governo com a russia
180562885329138_1633842060001206,251,bebado que tentou entrar em apartamento errado deixa cervejas do perdao no canada em bilhete aos moradores ele afirmou que ficou envergonhado com suas atitudes
180562885329138_1633817443337001,1216,americano processa mulher que ficou ao celular durante encontro no cinema ele quer que ela devolva o equivalente a r  apos encontro romantico que terminou mal ela se nega a devolver
180562885329138_1633646190020793,1427,miley cyrus diz se arrepender de wrecking ball sempre serei a menina nua na bola eu devia ter pensado por quanto tempo isso ia me seguir disse a exestrela da disney que assumiu visual mais recatado
180562885329138_1633755810009831,175,dormir menos deixa pessoas menos atraentes indica pesquisa pessoas que perdem duas noites de sono ja parecem significativamente mais feias para outros individuos
180562885329138_1634277796624299,31,quartafeira  de maio de boa noite aqui estao as principais noticias para voce terminar o dia beminformado
180562885329138_1633950636657015,2630,foto mostra lula e expresidente da oas em sitio em atibaia diz pf segundo forcatarefa da lava jato obras na propriedade foram pagas pela oas como propina ao expresidente
180562885329138_1633551880030224,223,nestle perde processo no reino unido pelo formato do kit kat o litigio pelo formato do famoso chocolate criado em  pela nestle envolvia a empresa rival americana mondelez international
180562885329138_1633468853371860,675,procuradores apresentam documentos que mostram mais de  reunioes entre lula e petrobras material foi anexado pelo mpf em processo da lava jato em que lula e reu na justica federal do parana sobre triplex no guaruja
180562885329138_1633156436736435,4,quartafeira  de maio bom dia aqui estao as principais noticias para voce comecar o dia beminformado
180562885329138_1632376813481064,190,relatorio aponta que ha  presos desaparecidos e numero de mortos em alcacuz pode se aproximar de elaborado pelo mecanismo nacional de prevencao e combate a tortura documento foi entregue a organizacao das nacoes unidas
180562885329138_1632542830131129,39,instagram introduz mascaras e funcao rebobinar no stories sao  opcoes de filtros que permitem ao usuario incorporar personagens nas publicacoes novidade aproxima ainda mais o recurso do concorrente snapchat
180562885329138_1632916336760445,3,tercafeira  de maio de boa noite aqui estao as principais noticias para voce terminar o dia beminformado
180562885329138_1632835810101831,1598,quase metade dos americanos querem impeachment de trump aponta pesquisa mais americanos sao a favor do impeachment do que contra
180562885329138_1632598010125611,1575,eike tem r  milhoes bloqueados e nao ha como pagar fianca diz advogado empresario que esta em prisao domiciliar teria ate quartafeira para pagar r  milhoes hoje segunda ele nao tem como fazer esse pagamento diz defesa
180562885329138_1632265256825553,582,brasil registra criacao de  mil empregos formais em abril foi o segundo mes de  em que as contratacoes superaram as demissoes no pais no acumulado de janeiro a abril pais registra fechamento de quase mil vagas
180562885329138_1631038316948247,1832,familia bota bilhete para explicar habito de cachorro de ficar no telhado huckleberry aprendeu sozinho a subir no telhado e agora gosta de ficar la
180562885329138_1631075046944574,6279,homem e filmado pousando de helicoptero para comprar lanche em mcdonalds na australia ele disse a radio local que tinha autorizacao para pousar autoridade de aviacao investiga se houve irregularidade
180562885329138_1631552940230118,1864,novela imita ensaio de divorcio de professora do es e ela comemora vai ser igual final de copa apos traicao personagem de a forca do querer fez um ensaio com vestido de noiva que usaria em casamento ensaio de divorcio da professora capixaba foi divulgado em janeiro
180562885329138_1631448996907179,2354,erro em letreiro de onibus transforma destino em piada em ms flagrante foi feito no terminal nova bahia em campo grande
180562885329138_1631634303555315,1328,leo pinheiro entrega documentos que comprovariam obras em sitio de atibaia e triplex no guaruja exexecutivo da oas tambem e reu em acao que apura se lula recebeu ou nao propina da construtora defesa do expresidente e mpf tambem apresentaram documentos
180562885329138_1631327553585990,2617,apartamento do governador pezao e assaltado no leblon rio a a dp esta investigando o caso residencia teria sido invadida e roubada por homens encapuzados
180562885329138_1630960563622689,285,moro nega pedido do mpf e da defesa de lula para ouvir mais testemunhas na acao do triplex o juiz tambem marcou as datas para as alegacoes finais decisao foi publicada no sistema eletronico da justica por volta das h desta segundafeira
180562885329138_1630874533631292,269,no japao centenas de familias se reunem e vibram com bebes chorando festival do choro acontece na cidade de yokohama no templo de shitodomaekawa e apresenta as criancas rituais que formam o pais
180562885329138_1629928873725858,13,video programadores da hackathon globo contam no confessionario do bbb seus pecados nerd ja que maratona hacker ocorre na casa do big brother brasil o g pediu aos desenvolvedores para confessar alguns deslizes tecnologicos
180562885329138_1630514790333933,995,em homenagem ao dia das maes  prefeitura de jequie brinca com caso das mochilas gigantes tamanho de bolsas entregues a alunos de creches virou piada entre internautas que fizeram meme
180562885329138_1630067427045336,124,o teste caseiro para saber se voce esta dormindo menos do que precisa orgaos de saude sugerem que o ser humano deve dormir uma media de sete a oito horas por noite mas nem todos atingem a meta saiba se esse e o seu caso
180562885329138_1629937160391696,275,trocamos bananas por asfalto diz morador apos  arvores serem plantadas em buracos de rua no am grupo plantou arvores para protestar em manaus secretaria disse que via onde ocorreu protesto foi incluida na programacao emergencial de obras
180562885329138_1629814797070599,58,macron promete superar divisoes em discurso de posse na franca politico de  anos e o presidente mais jovem a assumir o comando do palacio do eliseu primeira viagem internacional sera visita a chanceler alema angela merkel
180562885329138_1629330490452363,69,apos ataque de ransomware microsoft atualiza o windows xp a microsoft decidiu liberar uma atualizacao de seguranca para o windows xp para que usuarios do sistema lancado em  possam se proteger da brecha
180562885329138_1628935080491904,176,empresaria some com r  mil do marido e forja proprio sequestro diz policia de suzano mulher de  anos ainda usou o filho durante a trama que armou segundo delegado edson gianuzzi desvio do dinheiro so foi percebido quando homem pediu que a mulher realizasse uma transferencia para compra de um carro
180562885329138_1628008730584539,25,ciberataque faz sistema do tribunal de justica de sp cair sites do mp e do trt tambem saem do ar judiciario paulista admitiu que computadores foram infectados o que motivou o desligamento de todas as maquinas da instituicao inss informa que suspendeu atendimentos nesta sexta
180562885329138_1627920150593397,89,livro make poetry great again transforma frases de trump em poesia o que trump diz esta mais perto da poesia e da ficcao do que da realidade diz autor exemplar da obra foi enviada ao republicano
180562885329138_1628064380578974,1112,mala com r  milhao de caixa  foi roubada em taxi dizem delatores na lava jato marqueteira monica moura e o assistente andre santana relataram em depoimentos o roubo de uma mala com r  milhao que segundo eles vinha da odebrecht dentro de um taxi no transito de sao paulo
